mini_game,category,skill_id,skill_name,current_level,buy_to_level,max_level,cost_resource,cost_amount,value_after_purchase,delta,notes
Book Level,mana,mana.bookLevel,mana book level,1,2,uncapped,Mana + unique resource,20 Mana + 3 book resource,book level 2,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,2,3,uncapped,Mana + unique resource,31 Mana + 4 book resource,book level 3,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,3,4,uncapped,Mana + unique resource,48 Mana + 5 book resource,book level 4,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,4,5,uncapped,Mana + unique resource,74 Mana + 7 book resource,book level 5,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,5,6,uncapped,Mana + unique resource,115 Mana + 10 book resource,book level 6,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,6,7,uncapped,Mana + unique resource,179 Mana + 13 book resource,book level 7,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,7,8,uncapped,Mana + unique resource,277 Mana + 18 book resource,book level 8,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,8,9,uncapped,Mana + unique resource,430 Mana + 25 book resource,book level 9,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,9,10,uncapped,Mana + unique resource,666 Mana + 33 book resource,book level 10,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,10,11,uncapped,Mana + unique resource,1033 Mana + 45 book resource,book level 11,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,11,12,uncapped,Mana + unique resource,1601 Mana + 60 book resource,book level 12,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,12,13,uncapped,Mana + unique resource,2481 Mana + 81 book resource,book level 13,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,13,14,uncapped,Mana + unique resource,3846 Mana + 110 book resource,book level 14,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,14,15,uncapped,Mana + unique resource,5961 Mana + 148 book resource,book level 15,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,15,16,uncapped,Mana + unique resource,9240 Mana + 200 book resource,book level 16,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,16,17,uncapped,Mana + unique resource,14322 Mana + 270 book resource,book level 17,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,17,18,uncapped,Mana + unique resource,22199 Mana + 365 book resource,book level 18,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,18,19,uncapped,Mana + unique resource,34409 Mana + 493 book resource,book level 19,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,19,20,uncapped,Mana + unique resource,53334 Mana + 665 book resource,book level 20,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,20,21,uncapped,Mana + unique resource,82667 Mana + 898 book resource,book level 21,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,21,22,uncapped,Mana + unique resource,128134 Mana + 1213 book resource,book level 22,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,22,23,uncapped,Mana + unique resource,198608 Mana + 1637 book resource,book level 23,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,23,24,uncapped,Mana + unique resource,307842 Mana + 2210 book resource,book level 24,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,24,25,uncapped,Mana + unique resource,477155 Mana + 2984 book resource,book level 25,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,25,26,uncapped,Mana + unique resource,739590 Mana + 4028 book resource,book level 26,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,26,27,uncapped,Mana + unique resource,1146364 Mana + 5438 book resource,book level 27,+1 book level,exported first 50 book levels; unique resource depends on book
Book Level,mana,mana.bookLevel,mana book level,27,28,uncapped,Mana + unique resource,1776864 Mana + 7342 book resource,book level 28,+1 book level,exported first 50 book levels; unique resource depends on book
